Internal - All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Address,Content,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Title 2,Title 2 Length,Title 2 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1",Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,URL Encoded Address
https://www.virginholidays.co.uk/destinations/usa/philadelphia-holidays/things-to-do,text/html,200,OK,Indexable,,Virgin Experiences,18,148,,0,0,,0,0,,0,,0,,0,Book your perfect holiday direct,32,,0,,,,,,305700,561,1.4563297,3,,6,3,0.11,44,33,26,21,18a4e2baff70fc38c295c06023723460,0.021,,,,https://www.virginholidays.co.uk/destinations/usa/philadelphia-holidays/things-to-do
https://www.virginholidays.co.uk/destinations/canada/vancouver/sheraton-vancouver-wall-centre-browse,text/html,200,OK,Indexable,,"Sheraton Vancouver Wall Centre | Vancouver, Canada Hotel | Virgin Holidays",74,618,429 Too Many Requests,21,197,,0,0,,0,Error 429 Too Many Requests,27,Sheraton Vancouver Wall Centre,30,The hotel,9,Where is it,11,,,,,,341949,1579,3.0852554,4,,2,1,0.04,53,37,26,21,8f5c9ef4f51ee19fad6c3bd0f057e79c,0.097,,,,https://www.virginholidays.co.uk/destinations/canada/vancouver/sheraton-vancouver-wall-centre-browse
https://www.virginholidays.co.uk/dam/virginholidays/tours/Deccan-Odyssey-Indian-Odyssey-2016-Tour-Note.pdf,application/pdf;charset=UTF-8,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,4,,1,1,0.04,0,0,0,0,,0.021,"Wed, 24 Feb 2016 09:03:45 UTC",,,https://www.virginholidays.co.uk/dam/virginholidays/tours/Deccan-Odyssey-Indian-Odyssey-2016-Tour-Note.pdf
"https://www.virginholidays.co.uk/holiday/ajman/fairmont-ajman/options?departureDate=05-07-2019&duration=9&gateway=EDI&room=a2,i0&searchType=deal",,0,Blocked by robots.txt,Non-Indexable,Blocked by robots.txt,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,5,,3,1,0.04,0,0,0,0,,,,,,"https://www.virginholidays.co.uk/holiday/ajman/fairmont-ajman/options?departureDate=05-07-2019&duration=9&gateway=EDI&room=a2,i0&searchType=deal"
https://www.virginholidays.co.uk/destinations/usa/deep-south/georgia/atlanta/multi-destination,text/html;charset=UTF-8,200,OK,Indexable,,Atlanta Multi Centre 2019/2020 | Atlanta Twin Centre | Virgin Holidays,70,556,,0,0,Explore Atlanta then jet off to new destinations with our Atlanta multi centre holidays. Check out our Atlanta multi centre packages at Virgin Holidays.,152,863,,0,Atlanta tours,13,,0,Book your perfect holiday direct,32,,0,,,https://www.virginholidays.co.uk/destinations/usa/deep-south/georgia/atlanta/multi-destination,,,333636,840,1.8460238,3,,12,5,0.19,68,44,26,21,8fd35002f1fc53d19e5ba7b982176a3c,0.323,"Wed, 02 Jan 2019 12:03:57 CET",,,https://www.virginholidays.co.uk/destinations/usa/deep-south/georgia/atlanta/multi-destination
https://www.virginholidays.co.uk/destinations/caribbean/cuba/varadero/paradisus-varadero-holidays,text/html;charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,3,,1,1,0.04,0,0,0,0,,0.269,,,,https://www.virginholidays.co.uk/destinations/caribbean/cuba/varadero/paradisus-varadero-holidays
https://www.virginholidays.co.uk/destinations/usa/california-coast/oakland/embassy-suites-walnut-creek-browse,text/html,200,OK,Indexable,,"Embassy Suites Walnut Creek | Oakland, California Coast Hotel | Virgin Holidays",79,645,429 Too Many Requests,21,197,,0,0,,0,Error 429 Too Many Requests,27,Embassy Suites Walnut Creek,27,The hotel,9,Where is it,11,,,,,,333053,1604,3.2202084,4,,4,2,0.08,54,37,26,21,ac5c6c2631d035927c4083954c44f8,0.027,,,,https://www.virginholidays.co.uk/destinations/usa/california-coast/oakland/embassy-suites-walnut-creek-browse
https://www.virginholidays.co.uk/travel-extras/attraction-tickets/seaworld-orlando,,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,4,,2,2,0.08,0,0,0,0,,0.122,"Wed, 02 Jan 2019 12:09:13 CET",https://www.virginholidays.co.uk/travel-extras/attraction-tickets/seaworld-orlando/overview,HTTP Redirect,https://www.virginholidays.co.uk/travel-extras/attraction-tickets/seaworld-orlando
"https://www.virginholidays.co.uk/holiday/ocho-rios/sandals-ochi-beach-resort/options?departureDate=17-09-2019&duration=7&gateway=LGW&room=a2,i0&searchType=offer",,0,Blocked by robots.txt,Non-Indexable,Blocked by robots.txt,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,2,,6,2,0.08,0,0,0,0,,,,,,"https://www.virginholidays.co.uk/holiday/ocho-rios/sandals-ochi-beach-resort/options?departureDate=17-09-2019&duration=7&gateway=LGW&room=a2,i0&searchType=offer"
https://www.virginholidays.co.uk/destinations/florida/orlando/seaworld-holidays/things-to-do,text/html,200,OK,Indexable,,Virgin Experiences,18,148,429 Too Many Requests,21,197,,0,0,,0,Error 429 Too Many Requests,27,,0,Book your perfect holiday direct,32,,0,,,,,,305481,576,1.4891269,4,,0,0,0,44,33,26,21,6a206d1dd467bd03b2b64d1a04e36caa,0.018,,,,https://www.virginholidays.co.uk/destinations/florida/orlando/seaworld-holidays/things-to-do
